R,G,B,Emotion

255,255,153,Serenity
255,255,0,Joy 
255,204,0,Ecstasy

152,251,152,Acceptance
0,200,0,Trust 
0,100,0,Admiration

200,180,255,Apprehension
100,56,135,Fear 
75,0,130,Terror

175,238,238,Distraction
0,170,138,Surprise 
0,100,100,Amazement

160,185,230,Pensiveness
70,100,173,Sadness 
30,60,140,Grief

189,189,80,Boredom
128,128,0,Disgust
85,85,0,Loathing

255,128,128,Annoyance
220,0,0,Anger
150,0,0,Rage

255,218,185,Interest
255,155,0,Anticipation 
255,99,71,Vigilance

128,228,0,Love 
50,128,68,Submission
50,113,136,Awe
35,135,156,Disapproval
99,114,86,Remorse
174,64,0,Contempt
238,78,0,Aggressiveness
255,205,0,Optimism

178,156,68,Guilt
0,185,69,Curiosity
85,78,154,Despair
64,149,69,Unbelief
145,50,86,Envy
192,142,0,Cynicism
238,128,0,Pride
128,178,0,Hope

192,192,0,Morbidness
110,100,0,Dominance
178,106,68,Anxiety
128,213,69,Delight
35,150,85,Sentimentality
114,92,67,Shame
110,85,69,Outrage
162,127,86,Pessimism

250,250,250,Calmness
0,0,0,Strength
